title,url,press,time,content
"“거품 꺼지나, 잠시 쉬어가나”…국내 코인 거래금액 두 달 만에 4분의 1토막",https://n.news.naver.com/mnews/article/009/0005444134,매일경제,2025-02-14 22:14:11,"국내 일평균 6.4조 거래 그쳐알트코인은 더 크게 위축작년말 최대 실적 찍은 거래소올 1분기 실적은 둔화 불가피비트코인이 지난해 12월 10만달러를 돌파한 뒤 지지부진한 흐름을 보이면서 두 달 새 국내 가상자산 시장 거래대금도 76%가량 급락한 것으로 나타났다.특히 알트코인의 약세가 길어지면서 알트코인을 선호하는 국내 시장의 투자심리가 크게 줄어든 것으로 보인다. 지지부진한 장세가 이어지며 가상자산 업계에서도 이를 만회하기 위한 전략을 고심하고 있다.최근 4분기 실적을 발표한 비트코인 채굴업체들은 인공지능(AI) 데이터센터 등 새로운 먹거리 발굴에 나서겠다는 계획을 밝혔다.14일 가상자산 통계 사이트 코인게코에 따르면 이번주(지난 10~13일) 국내 5대 가상자산 거래소(업비트, 빗썸, 코인원, 코빗, 고팍스)의 하루 평균 거래대금은 6조4327억원으로 집계됐다.이는 지난해 하반기 최고 수준을 기록했던 12월 첫째 주(지난해 12월 2~8일) 하루 평균 거래대금인 27조2559억원의 23.6%에 불과하다. 두 달 새 4분의 1 수준으로 줄어든 셈이다.이는 비트코인이 지난해 12월 10만달러를 돌파한 이후 두 달 넘게 박스권 움직임을 이어가고 있기 때문이다. 도널드 트럼프 미국 대통령 취임식이나 관세 쇼크 등의 이슈가 있었지만 큰 틀에선 9만달러에서 11만달러 사이에 머무르고 있다.국내 코인 시장을 기준으로는 알트코인의 약세가 시장 거래대금이 줄어드는 데 큰 영향을 미친 것으로 보인다.트레이딩뷰에 따르면 비트코인을 제외한 가상자산의 시가총액은 지난해 12월 8일 1조6100억달러에서 이날 오후 2시 기준 1조2400억달러로 22.98% 감소했다. 같은 기간 비트코인의 시가총액이 4.31% 감소한 걸 감안하면 알트코인이 상대적으로 더 크게 부진했던 셈이다.알트코인 선호도가 높은 국내 코인 시장 특성상 투자자들의 관심이 크게 떨어질 수밖에 없다. 구글트렌드 기준으로도 국내 투자자들의 가상자산 관심도는 지난해 12월 초 대비 5분의 1 수준이다.지지부진한 흐름이 이어지며 가상자산 시장에서는 비트코인을 두고 부정적인 전망도 나온다. 비트코인 회의론자로 유명한 피터 시프 유로퍼시픽캐피털 최고경영자(CEO)는 자신의 엑스(X·옛 트위터)를 통해 “장기적 크립토 윈터가 도래했다”고 밝혔다.가상자산 업계에서도 이 같은 흐름에 대비하는 움직임이 나온다.특히 비트코인 채굴기업들은 AI 데이터센터 등 새로운 먹거리 발굴에 나서고 있다. 트럼프 대통령 당선 이후 비트코인 가격이 크게 올랐지만 채굴에만 집중하지 않는 모습이다. 지난해 4분기 사상 최고 실적을 기록하면서 주가가 크게 상승한 트레이딩 기업들과 대조적이다.대표 비트코인 채굴기업 라이엇플랫폼스는 13일(현지시간) 제이비 레버턴, 덕 무턴, 마이클 터너 3명이 이사회에 새롭게 임명됐다고 밝혔다. 라이엇은 이들이 향후 ‘비트코인 채굴 자산의 AI 및 고성능컴퓨터(HPC)용 자산으로의 전환’과 관련된 사업을 이끌 것이라고 설명했다.또 다른 채굴기업 코어사이언티픽은 지난해 클라우드 컴퓨팅 기업 코어위브와 기존 비트코인 채굴장을 AI 데이터센터로 전환하는 계약을 체결했다. 이 계약으로 코어사이언티픽은 향후 12년간 87억달러의 매출 발생을 기대하고 있다.이처럼 비트코인 채굴기업들이 신성장 동력 발굴에 나서는 이유로 비트코인 채굴 수익성 감소가 꼽힌다. 비트코인이 여러 차례 반감기를 거치면서 채굴에 대한 보상이 크게 줄어들었기 때문이다.실제로 라이엇에 따르면 비트코인의 최근 반감기(지난해 4월)가 발생하기 전인 2023회계연도에 비트코인 1개를 채굴하기 위한 비용은 7539달러에 불과했다. 비트코인 채굴의 매출총이익률은 74%였다. 반면 2024년 3분기 기준 비트코인 1개를 채굴하기 위한 비용은 3만5376달러까지 증가했다. 매출총이익률도 42%까지 감소했다.지난해 4분기 가상자산 상승장에 힘입어 사상 최대 실적을 내놓은 코인 거래소들도 향후 실적이 감소할 수 있다는 전망이 나온다. 시장 약세가 지속되면 거래실적이 급락할 수밖에 없기 때문이다.코인베이스는 이날 지난해 4분기 매출도 전년 대비 138% 늘어난 22억7000만달러를 기록했다고 밝혔다. 전날 가상자산 사업 호조로 사상 최대 실적을 내놓은 로빈후드에 이어 코인베이스도 높은 실적을 거둔 셈이다.이는 월가 전망치 18억4000만달러와 직전 분기 12억6000만달러를 모두 크게 웃돈 수치다. 같은 기간 순이익은 12억9100만달러로 전망치였던 5억7900만달러를 2배 이상 상회했다. 이 기간 거래 규모는 직전 분기(1850억달러) 대비 2배 이상 증가한 4390억달러에 달했다."
"피아이이, 작년 영업익 97억…전년比 142% 증가",https://n.news.naver.com/mnews/article/016/0002429233,헤럴드경제,2025-02-14 22:11:09,"[파아이이][헤럴드경제=신동윤 기자] 피아이이가 지난해 연결기준 매출액이 1240억원으로 전년 대비 44% 성장했다는 내용이 담긴 잠정실적을 14일 발표했다. 영업이익(96억원), 당기순이익(101억원)은 각각 전년 대비 142%, 83% 증가했다.피아이이 관계자는 “대내외적으로 불확실성이 큰 경영환경에도 불구하고, 미국향 인공지능(AI) 비전 솔루션과 데이터 기반 스마트팩토리 솔루션 매출 확대에 따른 성과”라며 “비파괴 검사, AI 반도체/유리기판 검사 등 새로운 성장동력을 마련하고 있는 만큼 2025년에도 다양한 첨단산업으로 계속 확장해 나갈 것”이라고 말했다.피아이이는 AI 비전, 데이터 기반 스마트 팩토리 솔루션에 필수적인 소프트웨어 기술을 자체 보유하고 있다. 딥러닝을 이용한 검출력과 문제해결 능력을 지닌 AI 소프트웨어와 영상처리 알고리즘 소프트웨어가 핵심기술이다.또한 피아이이는 반도체/유리기판(TGV), 파워칩 등으로 사업 영역을 확장해 하반기에는 다양한 솔루션을 본격적으로 공급할 계획이다.최정일 피아이이 대표는 “2차전지 산업이 전기차 캐즘(Chasm) 등으로 불확실성이 커진 상황에서 피아이이는 성장 동력을 다변화해 사업을 확장할 계획”이라며 “기존 주력 사업인 AI 비전 솔루션 기술의 차별화와 더불어 데이터 기반 스마트팩토리 솔루션을 고도화 한 제조지능화 분야의 AI 에이전트 사업을 본격화할 계획이다. 반도체/유리기판 등 성장 가능성이 높은 시장을 적극 공략해 글로벌 고객 파트너십을 다변화 할 것”이라고 말했다."
"""방산 수출 지원"" 약속에 'K-방산' 역대 최대 수출 노린다",https://n.news.naver.com/mnews/article/057/0001871825,MBN,2025-02-14 20:00:14,"【 앵커멘트 】'K-방산'은 떠오르는 우리 수출 효자 종목이죠.정치권에서는 여야를 가리지 않고 방산 수출 지원 약속에 나섰는데요.올해 역대 최대 수출 성과가 예상되는 가운데 방산업계의 기대감도 커지고 있습니다.다만, 정국 불안 리스크는 극복해야 할 과제입니다.권용범 기자가 보도합니다.【 기자 】정국 불안 리스크 속 한자리에 모여 'K-방산' 지원에 머리를 맞댄 정부·여당.인공지능 등 10대 국방전략기술에 3조 원 이상을 투자하는 등 수출 지원을 강화하기로 했습니다.▶ 인터뷰 : 성일종 / 국회 국방위원장 (지난 10일)- ""K-방산 수출에 차질이 있어서는 안 됩니다. 따라서 정부와 국회가 모두 나서서 지원을 아끼지 말아야 합니다.""이재명 더불어민주당 대표도 당 차원의 적극적인 지원과 육성을 약속한 상황.▶ 스탠딩 : 권용범 / 기자- ""방산업계는 정치권의 관심이 정국 불안 리스크를 해소하고 올해 240억 달러의 역대 최대 수출 성과로 이어질 수 있을 걸로 기대하고 있습니다.""방산 수출은 현지 생산과 기술 이전 등 예민한 사안을 조율하는 정부의 역할이 다른 산업보다 크게 작용하는 만큼 정치적 안정성과 대외신뢰도가 중요합니다.때문에 정부의 빠른 안정이 무엇보다 선행돼야 할 과제입니다.▶ 인터뷰(☎) : 한국방위산업진흥회 관계자- ""정부의 지원 없이는 방산 수출이 힘들거든요. 업체들은 굉장히 위기의식을 느끼고 있어서 (정치권의 관심이) 아주 큰 영향을 미칠 겁니다.""트럼프 2기 행정부 출범과 유럽 방위비 증가 등에 따른 방산 강국들의 견제를 뿌리치고 세계 4대 방산 강국 도약 목표를 달성할 수 있을지 주목됩니다.MBN뉴스 권용범입니다.영상취재 : 김태형 기자영상편집 : 오광환그래픽 : 주재천#MBN #K-방산 #방산수출 #김주하앵커 #권용범기자"
아트센터로 변신한 폐공장…우범지대에서 도시재생 마중물로,https://n.news.naver.com/mnews/article/057/0001871823,MBN,2025-02-14 19:56:10,"【 앵커멘트 】지방 중소 도시를 다니다 보면, 긴 세월 방치돼 흉물스럽게 변한 폐건물들이 적지 않습니다.음침하고 심지어 우범지대가 되기도 하는데, 이런 폐공장과 폐건물들이 문화예술 공간으로 탈바꿈해 오히려 도시를 살리고 있다고 합니다.이혁근 기자가 현장 취재했습니다.【 기자 】읍내 한복판에 자리 잡은 1,800평 규모 대형 아트센터입니다.지금은 공연장과 전시장, 카페를 갖춘 지역 거점이지만, 불과 3년 전만 해도 버려진 폐공장이었습니다.▶ 인터뷰 : 성기영 / 세종 조치원읍(81년 거주)- ""그때는 음산하고 누가 봐도 분위기가 좋지 않았죠. 우범지역이라고 그래야 되죠, 우범지역. 사람들이 오기를 꺼리는 장소….""1927년 처음 지어진 공장의 옛 흔적을 그대로 남겨 건물의 가치를 더 높였습니다.▶ 스탠딩 : 이혁근 / 기자- ""폐공장 굴뚝과 저유조 등을 그대로 살려 방문객들이 건축물이 지나온 100년 세월을 고스란히 느끼도록 했습니다.""정수시설로 쓰던 지하 4미터 공간으로 내려가자 50평 규모 전시장이 나타납니다.일제강점기에 만들어진 정수장으로 2010년부터 흉물로 방치됐다가, 문화가 숨 쉬는 정원으로 재구성됐습니다.골칫덩어리였던 두 공간은 최근 국가 우수건축자산으로 등록됐습니다.▶ 인터뷰 : 김보민 / 국토교통부 건축문화경관과 사무관- ""우수건축자산이 되면 조경면적이라든지 건폐율 같은 규제를 느슨하게 적용받을 수 있고요. 도시재생을 할 수 있는 거점이 될 수 있거든요.""정부는 우수건축자산이 지방도시를 살리는 실질적 거점이 되도록 부족한 주차공간 확보 등 개선 방안을 올해 안에 내놓을 방침입니다.MBN뉴스 이혁근입니다.영상취재 : 김영호 기자영상편집 : 이우주그래픽 : 김지예"
거래 족쇄 풀리자 호가 2억 '껑충'…멈칫하는 매수세 따라붙을까,https://n.news.naver.com/mnews/article/057/0001871822,MBN,2025-02-14 19:54:12,"【 앵커멘트 】서울 잠실과 삼성동, 대치·청담동의 토지거래허가제가 5년 만에 풀리자 근처 지역까지 매물이 자취를 감추고 있습니다.호가도 이틀 사이 억대로 껑충 뛰었지만, 더 오를 것이라는 기대감 속에 일부 거래 움직임도 나타나고 있습니다.【 기자 】재건축 아파트를 제외하고 토지거래허가구역에서 대부분 풀린 서울 잠실동 일대 아파트단지입니다.부동산 중개업소엔 남아 있던 급매가 모두 자취를 감췄습니다.호가는 2억까지 뛰었고, 높아진 가격에 수요자들은 매수를 망설이는 분위기입니다.▶ 인터뷰 : 서울 잠실동 중개업소- ""그동안 27억에서 28억에 팔렸거든요. 물건을 걷어버리고 30억 원으로 올려 버리고 막 이러니까 매수자는 안 따라와요.""다만, 똘똘한 한채를 중심으로 점차 매수세가 살아날 것이란 관측도 나옵니다.허가제와 관련이 없는 인근 지역 아파트들도 급매물 중심으로 팔리고 있습니다.▶ 인터뷰(☎) : 서울 강동구 중개업소- ""여기도 물건들을 조금씩 걷어요. 급매는 거의 다 팔리고 있어요.""반면, 강북 지역은 여전히 꽁꽁 얼어있는 분위기입니다.▶ 스탠딩 : 강서영 / 기자- ""같은 서울 안에서도 아파트 값이 상승세로 전환한 강동구와 달리 도봉구와 강북구는 하락세를 보였습니다.""▶ 인터뷰(☎) : 함영진 / 우리은행 부동산리서치랩장- ""지난해보다 상승폭이 더 높거나 또는 거래가 크게 활성화되는 부분들은 제한적이라고 보여집니다.""멀어진 금리 인하와 경기 침체로 강남과 비강남의 양극화가 더 커질 것이란 전망도 나옵니다.MBN뉴스 강서영입니다.영상취재 : 배병민 기자영상편집 : 이주호그래픽 : 최진평"
"창립 20주년 맞은 유튜브…공동 창립자 스티브 첸 ""유튜브 성공 비결은 개방성""",https://n.news.naver.com/mnews/article/057/0001871821,MBN,2025-02-14 19:52:06,"【 앵커멘트 】세계 최대 동영상 플랫폼, 유튜브(YouTube)가 창립 20주년을 맞았습니다.세계 미디어 시장은 유튜브의 등장 전후로 그 판도가 180도 바뀌었다고 해도 과언이 아니죠.MBN이 유튜브 공동 창립자인 스티브 첸과 인터뷰를 했는데, 창립자가 꼽은 유튜브의 성공 비결은 뭐였을까요?유승오 기자가 보도합니다.【 기자 】지난 2005년 유튜브 공동 창립자 자베드 카림(Jawed Karim)이 올린 20초 남짓의 영상입니다.▶ 인터뷰 : 자베드 카림 / 유튜브 공동 창업자 (지난 2005년)- ""이 녀석들(코끼리들)의 멋진 점은 정말 긴 코를 가지고 있다는 것입니다.""이 영상으로 세계 최대 동영상 공유 플랫폼 유튜브는 세상에 첫발을 내디뎠습니다.그로부터 20년, 다른 공동 창립자 스티브 첸(Steve Chen)은 MBN과 매일경제신문의 인터뷰를 통해 남다른 감회를 전했습니다.▶ 인터뷰 : 스티브 첸 / 유튜브 공동 창립자- ""(창업 당시) 인터넷이 스트리밍 플랫폼으로 충분하다는 걸 증명했다고 생각했고, 그것만으로도 대단한 성과라고 느꼈어요. 하지만, 그건 시작에 불과했죠.""유튜브의 성공 비결로 '개방성'을 꼽았습니다.▶ 인터뷰 : 스티브 첸 / 유튜브 공동 창립자- ""사용자들의 전반적인 경험을 바탕으로 관련 동영상을 찾아보도록 한 거죠. (특히 알고리즘은) 유튜브의 필수 기능이었습니다. 매우 흥미롭죠.""이제는 누구나 쉽게 AI를 개발하는 환경이 된 만큼, 첸은 개방성이 확대되면 더 많은 혁신이 일어날 거라고 확신했습니다.다만, 첸은 챗GPT와 딥시크 등 생성형 AI의 등장과 경쟁에 대해 높이 평가하면서도, 사실과 달리 엉뚱한 답변을 내놓는 이른바 '환각'은 여전히 해결해야 할 숙제라고 꼬집었습니다.MBN뉴스 유승오입니다.안선제 매일경제신문 기자영상편집 : 최형찬화면출처 : YouTube 'jawed'·YouTube 공식 블로그·YouTube 'YouTube'"
"독일서 또 차량 돌진 30명 부상…""이슬람 극단주의 의심""",https://n.news.naver.com/mnews/article/057/0001871820,MBN,2025-02-14 19:50:08,"【 앵커멘트 】독일 뮌헨에서는 안보회의가 열리죠.회의가 열리는 장소와 불과 1.5km 떨어진 도심에서 차량 돌진 사고가 발생해 최소 30명이 다쳤습니다.아프가니스탄 국적의 남성 용의자를 체포한 당국은 이슬람 극단주의를 의심하고 있습니다.이한나 기자가 보도합니다.【 기자 】텅 빈 도로 위에 트렁크가 열린 차량 한 대가 서 있고,주변엔 안경과 옷가지들이 널브러져 있습니다.구급 대원들이 쓰러진 부상자들의 상태를 확인하고, 서둘러 구급차로 이송할 준비를 합니다.현지시간 13일 독일 뮌헨 도심 한복판에서 차량 한 대가 집회에 참석한 군중에 돌진해 어린이 등 최소 30명이 다치고, 일부가 중상을 입었습니다.▶ 인터뷰 : 목격자- ""사람들이 전부 바닥에 쓰러져 있었어요. 100~150m 정도 떨어진 지점에서 차가 돌진하는 것을 봤어요.""당시 이곳에는 독일 공공노조원 1,500여 명이 파업 집회에 참가 중이었는데, 차량이 행진하는 군중 뒤편에서 빠른 속도로 돌진한 겁니다.경찰과 총격 끝에 체포된 용의자는 아프가니스탄 국적의 20대 남성으로, 2016년 독일에 입국해 망명을 신청했지만 기각됐고 현재는 추방이 일시 중단된 상태입니다.사고가 발생한 지점은 뮌헨안보회의 장소와 불과 1.5km 떨어진 곳이지만, 당국은 회의와 직접적 관련은 없다고 보고 있습니다.다만, 이슬람 극단주의에서 비롯된 범행에 무게를 두고 수사에 나섰습니다.▶ 인터뷰 : 마르쿠스 죄더 / 독일 바이에른 주지사- ""이번 일은 (사고가 아닌) 공격이라고 말씀드리고 싶습니다. 그런 징후가 많이 있습니다.""지난해 12월 크리스마스 마켓에서도 차량돌진 사고가 발생하는 등 이민자 흉악범죄가 잇따르면서 독일 사회에서 이민 정책 강화에 목소리가 나오고 있습니다.MBN뉴스 이한나입니다.영상편집: 김경준그 래 픽: 최진평, 권예지"
"더존비즈온, 2025년 법인 결산 세미나 개최",https://n.news.naver.com/mnews/article/277/0005546918,아시아경제,2025-02-14 19:49:41,"더존비즈온은 이달 17일부터 내달 6일까지 전국 주요 지역에서 ‘2025년 법인 결산 세미나’를 개최한다고 14일 밝혔다. 더존비즈온의 핵심 솔루션에 통합된 ONE AI를 통해 법인세 신고 업무의 효율성과 정확성, 편의성을 극대화하는 방법을 소개하고, 인공지능(AI) 기반의 법인세무조정 프로세스 혁신도 공개한다.먼저, Amaranth 10 사용자를 위한 세미나는 이달 25일부터 3월4일까지 광주, 경남, 부산, 대구, 서울 등 전국 ATEC에서 진행된다. WEHAGO는 19~21일 서울, 대전, 광주 등 6개 지역에서 개최된다. WEHAGO T 세무회계사무소 대상 세미나는 26, 27일 대전, 창원, 천안, 대구, 부산, 전주에 이어 3월 5, 6일 광주, 서울, 인천, 성남, 제주에서 열릴 예정이다. 앞서 iCUBE 고객사를 대상으로 Amaranth 10으로의 전환 및 iCUBE를 활용한 법인 결산 방법을 설명하는 세미나가 17~21일 인천, 부산, 광주, 안산, 대전, 대구, 서울에서 열린다.특히, 이번 세미나는 기업 핵심 업무 솔루션에 내재화한 생산성 혁신 AI 도구인 ONE AI를 기반으로 지금까지 볼 수 없었던 회계업무 패러다임 전환을 선보일 것으로 알려지며 큰 기대를 모으고 있다.이 자리에서 더존비즈온은 회계, 인사급여 데이터 연동부터 법인세 신고 서류 작성 및 홈택스 전자신고까지 법인세무조정 프로세스의 90%를 단 2분30초 만에 정리하는 업무 혁신을 공개한다. ONE AI를 활용한 실제 시연을 통해 법인 결산과 간편회계결산 과정을 선보일 계획으로 참가자들은 현장에서 법인세무조정의 혁신 프로세스를 직접 경험할 수 있을 것으로 보인다.또한, 단순한 회계 자동화 기능 소개가 아닌 실제 AI를 통해 바뀌는 회계업무가 집중적으로 소개될 예정이다. 증빙자료 수집부터 자금집행에 앞서 증빙과 원장을 확인하는 과정, AI 재무제표 분석 및 역추적, 채권 회수 메일 발송 등의 기능을 통해 회계 담당자의 업무 효율성을 높이는 방법을 발표한다. 지출결의서, 경비청구 작성과 같은 임직원 업무의 편리성과 효용성을 크게 향상시킬 수 있다는 점도 강조할 계획이다.이처럼 세무회계 분야를 비롯해 더존비즈온의 주요 고객사가 그 어느 곳보다 일찍 AI 및 클라우드 환경으로 전환된 데에는 WEHAGO, Amaranth 10 등 새로운 업무 플랫폼이 업계에 빠르게 정착한 영향이 크다는 평가다. 마치 개인용 이동통신 시장이 피처폰에서 스마트폰으로 완전히 전환된 것처럼, ONE AI는 출시 후 반년 만에 2,000개 고객사와 계약을 체결했으며 2023년 단종 후 올해 연말까지 막대한 비용을 들여 추가 유지보수를 제공하고 있는 Smart A 역시 WEHAGO 전환이 성공적인 마무리 단계에 이르렀다.실제로 회계프로그램 시장의 다양한 대체품에도 불구하고 고객의 선택이 Smart A에서 WEHAGO로 빠르게 옮겨가고 있는 것은 디지털 전환(DX)에 이은 인공지능 전환(AX) 시대의 도래, 새로운 서비스 확장 요구 등 기존 회계프로그램만으로는 대응에 한계가 있다는 인식에 따른 것이다. Smart A는 출시 후 십수 년간 변화하는 기술, 비즈니스 환경에 맞춰 지속적으로 기능을 고도화하며 국내 회계프로그램을 대표해 왔으나 SW 생애주기에 따라 단종을 결정하고 WEHAGO가 그 자리를 이어가고 있다.지능화되는 보안위협 역시 클라우드로 전환해야 하는 중요한 이유 중 하나이다. 현금(데이터)을 집(회사)에 보관하는 것과 은행(클라우드)에 보관하는 것 중 어느 방식이 더 범죄(해킹)나 자연재해(데이터 손상)에서 안전한지 묻는다면 누구나 은행을 선택할 것이다. 더존비즈온은 민간 최초로 정부 개인정보보호위원회가 지정한 ‘개인정보 안심구역’으로 운영되고 있다. 정보보호관리체계 인증제도인 ‘ISMS 인증’, 정부의 클라우드 서비스 보안인증인 ‘CSAP 인증’을 획득하며 클라우드 서비스의 안전성과 신뢰성을 객관적으로 검증하고 클라우드 서비스에 필요한 보안 우려를 해소했다.라이선스 비용과 유지보수 비용을 기능, 유저수 등 고객사별 환경에 맞춰 합리적인 가격 정책으로 제공하는 것도 클라우드 전환에 긍정적 영향을 주고 있다. 회계프로그램은 유무선 상담, 인터넷 상담, 연 4회 이상의 대면교육, 수시 웨비나를 통한 설명회 개최를 비롯해 매년 변경되는 세법 업데이트, 관련 기능 추가 등 원활하게 사용하기 위한 다양한 지원 활동으로 상당한 비용이 소요된다.더존비즈온 관계자는 “복잡한 규제 준수는 물론 데이터 보안 등 높은 신뢰성이 요구되는 기업의 업무 특성상 AI와 클라우드 전환은 거스를 수 없는 흐름”이라며 “더존비즈온은 이번 세미나를 통해 업무 중심에 자리 잡은 AI 기반 솔루션을 통해 보다 많은 기업이 미래 불확실성에 대비하는 전략적 결정에 나설 수 있도록 지원하겠다”고 말했다."
"엘케이켐, 청약 증거금 1.7조…경쟁률 652.56대 1",https://n.news.naver.com/mnews/article/018/0005944167,이데일리,2025-02-14 19:26:11,"25일 코스닥 상장 예정[이데일리 이정현 기자]반도체 프리커서 소재 전문 기업 엘케이켐(대표이사 이창엽)이 일반 청약에서 652.56대 1의 경쟁률을 기록하며 청약 증거금 1조 7130억 원을 모았다고 14일 밝혔다. 청약 건수는 총 8만3112건이다.엘케이켐은 지난 수요예측에서도 국내외 2109개 기관이 참여해 총 7억8946만7000주를 신청하며 공모가를 밴드 상단인 2만1000원으로 확정한 바 있다.신영증권은 “엘케이켐의 기술력과 사업 확장성을 높이 평가한 투자자들의 열띤 관심이 이어졌다”며 “공모주 시장에서의 입지를 다시 한번 입증했다”고 설명했다.엘케이켐은 상장을 통해 조달한 자금을 정밀 유기화학 소재 및 고순도 화학 소재 생산시설 구축에 투자할 계획이다. 또한 합성 및 정제 설비 확충을 통해 생산 역량을 강화하고, 반도체 핵심 소재 시장에서의 글로벌 경쟁력을 확보할 방침이다.이창엽 엘케이켐 대표이사는 “투자자들의 신뢰에 감사드린다”며 “상장 후에도 지속적인 연구개발과 시장 소통을 통해 신뢰받는 기업으로 성장하겠다”고 말했다.엘케이켐은 2월 18일 납입일을 거쳐 2월 25일 코스닥 시장에 상장할 예정이다."
김성환號 한투증권 1위 기염…메리츠 털썩,https://n.news.naver.com/mnews/article/031/0000908891,아이뉴스24,2025-02-14 18:54:09,"김성환 체제 1년, 전 부문 성장…1년 만에 영업익 3위서 1위판도 바꾼 서학개미…'2년 연속 1위' 메리츠 5위로 밀려지난해 김성환 사장이 이끄는 한국투자증권이 유일하게 영업이익과 순이익 모두 1조원을 넘겼다. 2년 연속 1위를 차지한 메리츠증권은 위탁매매 수수료 수입의 열세를 만회하지 못했다.14일 금융투자업계에 따르면 지난해 증권사 중 연결 기준 영업이익이 가장 큰 곳은 1조2837억원을 기록한 한국투자증권이다. 이어 삼성증권 1조2057억원, 미래에셋증권 1조1589억원, 키움증권 1조982억원, 메리츠증권 1조549억원 순으로 집계됐다.[자료=각사]한국투자증권은 전년도 3위에서 1위로 급부상했다. 지난해 부임한 김성환 사장의 저력이 통했다는 평가다. 영업이익과 순익을 전년보다 각각 93.3%, 86.5%씩 급격히 키웠다. 지난해 영업이익과 순익 모두 1조원을 넘긴 곳은 한국투자증권이 유일하다.한국투자증권은 위탁매매를 중심으로 전 부문에서 고르게 성장한 게 호실적을 견인했다고 평가했다. 개인 고객 금융상품 잔고는 1년 새 53조4000억원에서 67조8000억원으로 27% 증가했다. 업계 최대 규모다.운용 관련 순영업수익도 전년보다 두 배 넘게 늘었다. 채권과 발행어음 판매가 증가해 그에 따른 운용 이익이 커졌다.김성환 사장의 연임은 사실상 확정된 것으로 전해졌다. 지난해 첫 대표이사로 선임됐고 실적으로 능력을 입증했다는 평가다.메리츠증권은 영업이익 1위에서 5위로 크게 밀려났다. 2022년과 2023년 연속으로 1위를 수성했지만, 지난해에는 자리를 뺏겼다.2위를 꿰찬 삼성증권의 지난해 예탁 자산과 거래대금은 총 86조9000억원으로 전년 37조6000억원보다 131% 급증했다.3위 미래에셋증권은 업계 최초로 해외주식 잔고 40조원을 돌파했다. 4위 키움증권은 지난해 4분기 해외주식 약정이 한 분기 만에 33% 급증했다. 수수료 수익도 해외가 국내 주식을 넘어섰다.박혜진 대신증권 연구원은 ""지난해 4분기 해외주식 거래대금이 258조원으로 34.9% 늘면서 매 분기 사상 최고를 경신했다""며 ""4분기 미래에셋증권과 키움증권, 삼성증권은 해외주식 수수료 수익이 국내 주식을 앞선 것으로 보인다""고 평가했다."
